timestamp_sec;timestamp_nanosec;range;azimuth_deg;elevation_deg;x;y;z;intensity
  1598267360;   621766090;   0.325; -56.006;   0.000;   0.182;  -0.269;   0.000;      55
  1598267360;   621766090;   0.319; -55.673;   0.000;   0.180;  -0.263;   0.000;      40
  1598267360;   621766090;   0.316; -55.340;   0.000;   0.180;  -0.260;   0.000;      43
  1598267360;   621766090;   0.002; -55.007;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -54.673;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.002; -54.340;   0.000;   0.001;  -0.002;   0.000;       0
  1598267360;   621766090;   0.916; -54.007;   0.000;   0.538;  -0.741;   0.000;     100
  1598267360;   621766090;   0.934; -53.673;   0.000;   0.553;  -0.752;   0.000;     142
  1598267360;   621766090;   0.940; -53.340;   0.000;   0.561;  -0.754;   0.000;     163
  1598267360;   621766090;   0.935; -53.007;   0.000;   0.563;  -0.747;   0.000;     175
  1598267360;   621766090;   0.937; -52.673;   0.000;   0.568;  -0.745;   0.000;     184
  1598267360;   621766090;   0.919; -52.340;   0.000;   0.561;  -0.728;   0.000;     181
  1598267360;   621766090;   0.916; -52.007;   0.000;   0.564;  -0.722;   0.000;     181
  1598267360;   621766090;   0.909; -51.674;   0.000;   0.564;  -0.713;   0.000;     184
  1598267360;   621766090;   0.908; -51.340;   0.000;   0.567;  -0.709;   0.000;     187
  1598267360;   621766090;   0.910; -51.007;   0.000;   0.573;  -0.707;   0.000;     190
  1598267360;   621766090;   0.895; -50.674;   0.000;   0.567;  -0.692;   0.000;     184
  1598267360;   621766090;   0.897; -50.340;   0.000;   0.572;  -0.691;   0.000;     187
  1598267360;   621766090;   0.896; -50.007;   0.000;   0.576;  -0.686;   0.000;     190
  1598267360;   621766090;   0.885; -49.674;   0.000;   0.573;  -0.675;   0.000;     187
  1598267360;   621766090;   0.879; -49.340;   0.000;   0.573;  -0.667;   0.000;     184
  1598267360;   621766090;   0.883; -49.007;   0.000;   0.579;  -0.666;   0.000;     190
  1598267360;   621766090;   0.874; -48.674;   0.000;   0.577;  -0.656;   0.000;     187
  1598267360;   621766090;   0.871; -48.341;   0.000;   0.579;  -0.651;   0.000;     190
  1598267360;   621766090;   0.863; -48.007;   0.000;   0.577;  -0.641;   0.000;     187
  1598267360;   621766090;   0.866; -47.674;   0.000;   0.583;  -0.640;   0.000;     190
  1598267360;   621766090;   0.859; -47.341;   0.000;   0.582;  -0.632;   0.000;     187
  1598267360;   621766090;   0.850; -47.007;   0.000;   0.580;  -0.622;   0.000;     187
  1598267360;   621766090;   0.853; -46.674;   0.000;   0.585;  -0.621;   0.000;     190
  1598267360;   621766090;   0.847; -46.341;   0.000;   0.585;  -0.613;   0.000;     187
  1598267360;   621766090;   0.851; -46.007;   0.000;   0.591;  -0.612;   0.000;     190
  1598267360;   621766090;   0.847; -45.674;   0.000;   0.592;  -0.606;   0.000;     190
  1598267360;   621766090;   0.850; -45.341;   0.000;   0.597;  -0.605;   0.000;     193
  1598267360;   621766090;   0.838; -45.008;   0.000;   0.592;  -0.593;   0.000;     190
  1598267360;   621766090;   0.835; -44.674;   0.000;   0.594;  -0.587;   0.000;     187
  1598267360;   621766090;   0.828; -44.341;   0.000;   0.592;  -0.579;   0.000;     187
  1598267360;   621766090;   0.830; -44.008;   0.000;   0.597;  -0.577;   0.000;     190
  1598267360;   621766090;   0.832; -43.674;   0.000;   0.602;  -0.575;   0.000;     193
  1598267360;   621766090;   0.827; -43.341;   0.000;   0.601;  -0.568;   0.000;     190
  1598267360;   621766090;   0.820; -43.008;   0.000;   0.600;  -0.559;   0.000;     190
  1598267360;   621766090;   0.824; -42.675;   0.000;   0.606;  -0.559;   0.000;     193
  1598267360;   621766090;   0.824; -42.341;   0.000;   0.609;  -0.555;   0.000;     196
  1598267360;   621766090;   0.812; -42.008;   0.000;   0.603;  -0.543;   0.000;     190
  1598267360;   621766090;   0.815; -41.675;   0.000;   0.609;  -0.542;   0.000;     193
  1598267360;   621766090;   0.815; -41.341;   0.000;   0.612;  -0.538;   0.000;     193
  1598267360;   621766090;   0.800; -41.008;   0.000;   0.604;  -0.525;   0.000;     190
  1598267360;   621766090;   0.799; -40.675;   0.000;   0.606;  -0.521;   0.000;     190
  1598267360;   621766090;   0.798; -40.341;   0.000;   0.608;  -0.517;   0.000;     190
  1598267360;   621766090;   0.799; -40.008;   0.000;   0.612;  -0.514;   0.000;     190
  1598267360;   621766090;   0.791; -39.675;   0.000;   0.609;  -0.505;   0.000;     190
  1598267360;   621766090;   0.789; -39.342;   0.000;   0.610;  -0.500;   0.000;     190
  1598267360;   621766090;   0.793; -39.008;   0.000;   0.616;  -0.499;   0.000;     193
  1598267360;   621766090;   0.788; -38.675;   0.000;   0.615;  -0.492;   0.000;     193
  1598267360;   621766090;   0.784; -38.342;   0.000;   0.615;  -0.486;   0.000;     190
  1598267360;   621766090;   0.781; -38.008;   0.000;   0.615;  -0.481;   0.000;     190
  1598267360;   621766090;   0.778; -37.675;   0.000;   0.616;  -0.475;   0.000;     190
  1598267360;   621766090;   0.781; -37.342;   0.000;   0.621;  -0.474;   0.000;     193
  1598267360;   621766090;   0.775; -37.008;   0.000;   0.619;  -0.466;   0.000;     193
  1598267360;   621766090;   0.772; -36.675;   0.000;   0.619;  -0.461;   0.000;     193
  1598267360;   621766090;   0.777; -36.342;   0.000;   0.626;  -0.460;   0.000;     193
  1598267360;   621766090;   0.765; -36.009;   0.000;   0.619;  -0.450;   0.000;     190
  1598267360;   621766090;   0.771; -35.675;   0.000;   0.626;  -0.450;   0.000;     193
  1598267360;   621766090;   0.771; -35.342;   0.000;   0.629;  -0.446;   0.000;     196
  1598267360;   621766090;   0.764; -35.009;   0.000;   0.626;  -0.438;   0.000;     193
  1598267360;   621766090;   0.764; -34.675;   0.000;   0.628;  -0.435;   0.000;     193
  1598267360;   621766090;   0.766; -34.342;   0.000;   0.632;  -0.432;   0.000;     196
  1598267360;   621766090;   0.764; -34.009;   0.000;   0.633;  -0.427;   0.000;     199
  1598267360;   621766090;   0.759; -33.675;   0.000;   0.632;  -0.421;   0.000;     193
  1598267360;   621766090;   0.753; -33.342;   0.000;   0.629;  -0.414;   0.000;     193
  1598267360;   621766090;   0.758; -33.009;   0.000;   0.636;  -0.413;   0.000;     196
  1598267360;   621766090;   0.756; -32.676;   0.000;   0.636;  -0.408;   0.000;     199
  1598267360;   621766090;   0.751; -32.342;   0.000;   0.634;  -0.402;   0.000;     193
  1598267360;   621766090;   0.749; -32.009;   0.000;   0.635;  -0.397;   0.000;     193
  1598267360;   621766090;   0.750; -31.676;   0.000;   0.638;  -0.394;   0.000;     196
  1598267360;   621766090;   0.752; -31.342;   0.000;   0.642;  -0.391;   0.000;     202
  1598267360;   621766090;   0.743; -31.009;   0.000;   0.637;  -0.383;   0.000;     193
  1598267360;   621766090;   0.749; -30.676;   0.000;   0.644;  -0.382;   0.000;     199
  1598267360;   621766090;   0.744; -30.342;   0.000;   0.642;  -0.376;   0.000;     196
  1598267360;   621766090;   0.743; -30.009;   0.000;   0.643;  -0.372;   0.000;     199
  1598267360;   621766090;   0.738; -29.676;   0.000;   0.641;  -0.365;   0.000;     193
  1598267360;   621766090;   0.735; -29.343;   0.000;   0.641;  -0.360;   0.000;     193
  1598267360;   621766090;   0.739; -29.009;   0.000;   0.646;  -0.358;   0.000;     196
  1598267360;   621766090;   0.736; -28.676;   0.000;   0.646;  -0.353;   0.000;     196
  1598267360;   621766090;   0.736; -28.343;   0.000;   0.648;  -0.349;   0.000;     196
  1598267360;   621766090;   0.735; -28.009;   0.000;   0.649;  -0.345;   0.000;     196
  1598267360;   621766090;   0.734; -27.676;   0.000;   0.650;  -0.341;   0.000;     196
  1598267360;   621766090;   0.729; -27.343;   0.000;   0.648;  -0.335;   0.000;     196
  1598267360;   621766090;   0.729; -27.009;   0.000;   0.649;  -0.331;   0.000;     199
  1598267360;   621766090;   0.730; -26.676;   0.000;   0.652;  -0.328;   0.000;     199
  1598267360;   621766090;   0.731; -26.343;   0.000;   0.655;  -0.324;   0.000;     196
  1598267360;   621766090;   0.724; -26.010;   0.000;   0.651;  -0.317;   0.000;     175
  1598267360;   621766090;   0.716; -25.676;   0.000;   0.645;  -0.310;   0.000;     154
  1598267360;   621766090;   0.644; -25.343;   0.000;   0.582;  -0.276;   0.000;     142
  1598267360;   621766090;   0.474; -25.010;   0.000;   0.430;  -0.200;   0.000;     118
  1598267360;   621766090;   0.457; -24.676;   0.000;   0.415;  -0.191;   0.000;     109
  1598267360;   621766090;   0.455; -24.343;   0.000;   0.415;  -0.188;   0.000;      85
  1598267360;   621766090;   0.441; -24.010;   0.000;   0.403;  -0.179;   0.000;     112
  1598267360;   621766090;   0.450; -23.676;   0.000;   0.412;  -0.181;   0.000;     106
  1598267360;   621766090;   0.448; -23.343;   0.000;   0.411;  -0.178;   0.000;     127
  1598267360;   621766090;   0.446; -23.010;   0.000;   0.411;  -0.174;   0.000;      97
  1598267360;   621766090;   0.441; -22.677;   0.000;   0.407;  -0.170;   0.000;      88
  1598267360;   621766090;   0.438; -22.343;   0.000;   0.405;  -0.167;   0.000;     112
  1598267360;   621766090;   0.435; -22.010;   0.000;   0.403;  -0.163;   0.000;     118
  1598267360;   621766090;   0.437; -21.677;   0.000;   0.406;  -0.161;   0.000;     109
  1598267360;   621766090;   0.444; -21.343;   0.000;   0.414;  -0.162;   0.000;      94
  1598267360;   621766090;   0.435; -21.010;   0.000;   0.406;  -0.156;   0.000;     109
  1598267360;   621766090;   0.452; -20.677;   0.000;   0.423;  -0.160;   0.000;      88
  1598267360;   621766090;   0.594; -20.343;   0.000;   0.557;  -0.207;   0.000;      91
  1598267360;   621766090;   0.710; -20.010;   0.000;   0.667;  -0.243;   0.000;     175
  1598267360;   621766090;   0.719; -19.677;   0.000;   0.677;  -0.242;   0.000;     196
  1598267360;   621766090;   0.714; -19.344;   0.000;   0.674;  -0.236;   0.000;     199
  1598267360;   621766090;   0.710; -19.010;   0.000;   0.671;  -0.231;   0.000;     199
